SUM(sold_quantity),product_code
56090,A0118150101
57139,A0118150102
218107,A0118150103
222452,A0118150104
229859,A0219150201
226276,A0219150202
223430,A0220150203
215303,A0320150301
226371,A0321150302
215213,A0321150303
263216,A0418150103
252352,A0418150104
250592,A0418150105
247319,A0418150106
46158,A0519150201
44323,A0519150202
45756,A0519150203
248021,A0519150204
255595,A0519150205
255634,A0519150206
257030,A0519150207
255218,A0519150208
262683,A0619150301
265538,A0619150302
269465,A0620150303
258241,A0620150304
256305,A0620150305
251565,A0620150306
254749,A0621150307
255193,A0621150308
257544,A0721150401
260901,A0721150402
265681,A0721150403
267150,A0721150404
254647,A0821150501
258300,A0821150502
260764,A0821150503
265116,A0821150504
260538,A0921150601
214156,A0921150602
215871,A0921150603
210667,A0921150604
46594,A1018150101
47512,A1018150102
45808,A1018150103
251510,A1118150201
250435,A1118150202
245169,A1119150203
259855,A1219150301
257281,A1219150302
267575,A1219150303
241459,A1319150401
255740,A1320150402
260458,A1320150403
263816,A1420150501
254995,A1420150502
260955,A1421150503
258834,A1521150601
254915,A1521150602
213901,A1521150603
32527,A1618150101
32218,A1618150102
33353,A1618150103
31850,A1618150104
198035,A1718150201
194479,A1718150202
196730,A1718150203
206560,A1718150204
199902,A1819150301
202695,A1819150302
198262,A1819150303
200502,A1819150304
198583,A1919150401
188930,A1919150402
195926,A1919150403
198288,A1920150404
199670,A2020150501
203720,A2020150502
192502,A2021150503
164222,A2021150504
238205,A2118150101
236559,A2118150102
424466,A2118150103
426711,A2118150104
430588,A2118150105
433616,A2118150106
415573,A2218150201
425406,A2218150202
436398,A2219150203
426754,A2219150204
432975,A2219150205
431151,A2219150206
416964,A2319150301
435530,A2319150302
425372,A2319150303
430340,A2319150304
436367,A2319150305
429668,A2319150306
437629,A2419150401
421872,A2419150402
433887,A2419150403
431552,A2419150404
441257,A2419150405
432917,A2420150406
438339,A2520150501
421950,A2520150502
426952,A2520150503
436653,A2520150504
429533,A2520150505
422598,A2520150506
419906,A2620150601
415608,A2620150602
427430,A2620150603
433920,A2620150604
416227,A2620150605
431349,A2620150606
419182,A2720150701
432696,A2721150702
427115,A2721150703
427627,A2721150704
426839,A2721150705
426913,A2721150706
431262,A2821150801
192672,A2821150802
192377,A2821150803
187865,A2821150804
190120,A2821150805
187567,A2821150806
195895,A2918150101
199539,A2918150102
205776,A2918150103
372721,A2918150104
372900,A2918150105
372361,A2918150106
358135,A3018150201
378492,A3018150202
371905,A3018150203
364128,A3019150204
384187,A3019150205
365790,A3019150206
362935,A3119150301
372366,A3119150302
366024,A3119150303
372699,A3120150304
371081,A3120150305
367826,A3120150306
370253,A3220150401
364556,A3220150402
368656,A3220150403
371501,A3220150404
363955,A3220150405
358821,A3220150406
362591,A3320150501
366154,A3320150502
373303,A3320150503
370175,A3320150504
369930,A3320150505
362299,A3320150506
375266,A3420150601
371672,A3420150602
378304,A3421150603
375692,A3421150604
373032,A3421150605
376358,A3421150606
365465,A3521150701
361767,A3521150702
368837,A3521150703
367861,A3521150704
369148,A3521150705
171172,A3521150706
166677,A3621150801
166829,A3621150802
168369,A3621150803
174069,A3621150804
159091,A3621150805
179777,A3621150806
207701,A3718150101
195187,A3718150102
193665,A3718150103
193276,A3718150105
193449,A3818150201
198819,A3818150202
196526,A3819150203
20561,A3819150204
190905,A3819150205
196371,A3920150301
194549,A3920150302
191173,A3920150303
19549,A3920150304
194260,A3920150305
200229,A4020150401
197380,A4020150402
202876,A4021150403
201892,A4021150404
197218,A4021150405
31725,A4118110105
32346,A4118110106
31807,A4118110107
32180,A4218110201
32344,A4218110202
31062,A4218110203
31932,A4218110204
30899,A4218110205
31857,A4218110206
31937,A4218110207
32045,A4218110208
32158,A4318110301
31472,A4319110302
30618,A4319110303
32327,A4319110304
31140,A4319110305
31413,A4319110306
32290,A4419110401
32140,A4419110402
31219,A4419110403
30766,A4419110404
31141,A4419110405
31856,A4419110406
32285,A4419110407
32241,A4419110408
32704,A4519110501
32784,A4519110502
31587,A4519110503
32158,A4520110504
31477,A4520110505
31954,A4520110506
31493,A4520110507
31634,A4520110508
32125,A4620110601
31627,A4620110602
31926,A4620110603
31981,A4620110604
31548,A4620110605
31754,A4620110606
32199,A4620110607
31991,A4620110608
30703,A4720110701
31424,A4720110702
32486,A4721110703
31473,A4721110704
31220,A4721110705
22655,A4721110706
21994,A4721110707
21877,A4721110708
22079,A4821110801
22684,A4821110802
21898,A4821110803
22072,A4821110804
21429,A4821110805
21572,A4821110806
22534,A4821110807
22291,A4821110808
34171,A4918110101
32474,A4918110102
34193,A4918110103
33665,A4918110104
33235,A5018110201
33799,A5018110202
35157,A5018110203
33698,A5018110204
33597,A5018110205
32721,A5018110206
32835,A5018110207
31929,A5019110208
32174,A5119110301
33884,A5119110302
34138,A5119110303
33056,A5119110305
32649,A5119110306
33203,A5119110307
33941,A5119110308
31807,A5219110401
33278,A5219110402
32111,A5219110403
33404,A5219110405
33899,A5219110406
32551,A5219110407
32698,A5220110408
29462,A5318110103
29645,A5318110104
30310,A5318110105
28788,A5318110106
30136,A5318110107
29845,A5318110108
29480,A5419110201
29588,A5419110202
30637,A5419110203
29035,A5419110204
30867,A5419110205
28922,A5419110206
30388,A5419110207
29656,A5419110208
30283,A5519110301
4151,A5519110302
4172,A5519110303
4147,A5519110304
29291,A5520110305
28967,A5520110306
29849,A5520110307
30019,A5520110308
28482,A5620110401
30820,A5620110402
29023,A5621110403
29772,A5621110404
30060,A5621110405
30311,A5621110406
29971,A5621110407
30614,A5621110408
28293,A5721110501
30235,A5721110502
30872,A5721110503
29882,A5721110504
29536,A5721110505
30179,A5721110506
27145,A5721110507
25092,A5721110508
33376,A5820110101
34017,A5820110102
32707,A5820110103
33336,A5820110104
6806,A5820110105
32166,A5820110106
32884,A5820110107
6953,A5821110108
25859,A5921110201
27276,A5921110202
25303,A5921110203
26602,A5921110204
26376,A5921110205
25354,A5921110206
25641,A5921110207
26205,A5921110208
1334,A6018110101
1307,A6018110102
24567,A6018110103
25350,A6018110104
23690,A6018110105
24152,A6018110106
25254,A6019110107
24773,A6019110108
24815,A6119110201
24913,A6119110202
23912,A6119110203
24468,A6119110204
24015,A6120110205
24275,A6120110206
22530,A6120110207
22360,A6121110208
239246,A6218160101
244403,A6218160102
425719,A6219160103
417617,A6319160201
426761,A6319160202
409551,A6319160203
