date,product_code,customer_code,sold_quantity
2021-12-01,A0118150103,90002002,630
2021-12-01,A0118150104,90002002,1593
2021-12-01,A0219150201,90002002,1219
2021-12-01,A0219150202,90002002,1526
2021-12-01,A0220150203,90002002,1241
2021-12-01,A0320150301,90002002,596
2021-12-01,A0321150302,90002002,1100
2021-12-01,A0321150303,90002002,426
2021-12-01,A0418150103,90002002,1775
2021-12-01,A0418150104,90002002,1385
2021-12-01,A0418150105,90002002,657
2021-12-01,A0418150106,90002002,2165
2021-12-01,A0519150204,90002002,366
2021-12-01,A0519150205,90002002,2160
2021-12-01,A0519150206,90002002,1180
2021-12-01,A0519150207,90002002,504
2021-12-01,A0519150208,90002002,1432
2021-12-01,A0619150301,90002002,966
2021-12-01,A0619150302,90002002,1061
2021-12-01,A0620150303,90002002,2151
2021-12-01,A0620150304,90002002,1132
2021-12-01,A0620150305,90002002,894
2021-12-01,A0620150306,90002002,2065
2021-12-01,A0621150307,90002002,504
2021-12-01,A0621150308,90002002,1708
2021-12-01,A0721150401,90002002,295
2021-12-01,A0721150402,90002002,1080
2021-12-01,A0721150403,90002002,638
2021-12-01,A0721150404,90002002,1979
2021-12-01,A0821150501,90002002,381
2021-12-01,A0821150502,90002002,2269
2021-12-01,A0821150503,90002002,1946
2021-12-01,A0821150504,90002002,1013
2021-12-01,A0921150601,90002002,271
2021-12-01,A0921150602,90002002,338
2021-12-01,A0921150603,90002002,1951
2021-12-01,A0921150604,90002002,1118
2021-12-01,A1118150201,90002002,1355
2021-12-01,A1118150202,90002002,1534
2021-12-01,A1119150203,90002002,1271
2021-12-01,A1219150301,90002002,1369
2021-12-01,A1219150302,90002002,2214
2021-12-01,A1219150303,90002002,1960
2021-12-01,A1319150401,90002002,1111
2021-12-01,A1320150402,90002002,267
2021-12-01,A1320150403,90002002,1721
2021-12-01,A1420150501,90002002,1552
2021-12-01,A1420150502,90002002,994
2021-12-01,A1421150503,90002002,1923
2021-12-01,A1521150601,90002002,952
2021-12-01,A1521150602,90002002,549
2021-12-01,A1521150603,90002002,1069
2021-12-01,A1718150201,90002002,1508
2021-12-01,A1718150202,90002002,500
2021-12-01,A1718150203,90002002,322
2021-12-01,A1718150204,90002002,1163
2021-12-01,A1819150301,90002002,1500
2021-12-01,A1819150302,90002002,300
2021-12-01,A1819150303,90002002,563
2021-12-01,A1819150304,90002002,1263
2021-12-01,A1919150401,90002002,1148
2021-12-01,A1919150402,90002002,393
2021-12-01,A1919150403,90002002,1815
2021-12-01,A1920150404,90002002,1237
2021-12-01,A2020150501,90002002,904
2021-12-01,A2020150502,90002002,633
2021-12-01,A2021150503,90002002,474
2021-12-01,A2021150504,90002002,400
2021-12-01,A2118150103,90002002,1876
2021-12-01,A2118150104,90002002,1002
2021-12-01,A2118150105,90002002,1542
2021-12-01,A2118150106,90002002,1225
2021-12-01,A2218150201,90002002,552
2021-12-01,A2218150202,90002002,2000
2021-12-01,A2219150203,90002002,1242
2021-12-01,A2219150204,90002002,599
2021-12-01,A2219150205,90002002,437
2021-12-01,A2219150206,90002002,377
2021-12-01,A2319150301,90002002,2111
2021-12-01,A2319150302,90002002,1242
2021-12-01,A2319150303,90002002,728
2021-12-01,A2319150304,90002002,1653
2021-12-01,A2319150305,90002002,1691
2021-12-01,A2319150306,90002002,1242
2021-12-01,A2419150401,90002002,805
2021-12-01,A2419150402,90002002,535
2021-12-01,A2419150403,90002002,642
2021-12-01,A2419150404,90002002,1006
2021-12-01,A2419150405,90002002,300
2021-12-01,A2420150406,90002002,1610
2021-12-01,A2520150501,90002002,818
2021-12-01,A2520150502,90002002,1297
2021-12-01,A2520150503,90002002,1370
2021-12-01,A2520150504,90002002,621
2021-12-01,A2520150505,90002002,1220
2021-12-01,A2520150506,90002002,1571
2021-12-01,A2620150601,90002002,1285
2021-12-01,A2620150602,90002002,1139
2021-12-01,A2620150603,90002002,1995
2021-12-01,A2620150604,90002002,1841
2021-12-01,A2620150605,90002002,1015
2021-12-01,A2620150606,90002002,2102
2021-12-01,A2720150701,90002002,1404
2021-12-01,A2721150702,90002002,407
2021-12-01,A2721150703,90002002,852
2021-12-01,A2721150704,90002002,2072
2021-12-01,A2721150705,90002002,1486
2021-12-01,A2721150706,90002002,227
2021-12-01,A2821150801,90002002,1083
2021-12-01,A2821150802,90002002,1019
2021-12-01,A2821150803,90002002,1409
2021-12-01,A2821150804,90002002,1306
2021-12-01,A2821150805,90002002,707
2021-12-01,A2821150806,90002002,1392
2021-12-01,A2918150104,90002002,1583
2021-12-01,A2918150105,90002002,731
2021-12-01,A2918150106,90002002,1404
2021-12-01,A3018150201,90002002,202
2021-12-01,A3018150202,90002002,266
2021-12-01,A3018150203,90002002,1081
2021-12-01,A3019150204,90002002,1679
2021-12-01,A3019150205,90002002,438
2021-12-01,A3019150206,90002002,1488
2021-12-01,A3119150301,90002002,1549
2021-12-01,A3119150302,90002002,1454
2021-12-01,A3119150303,90002002,1534
2021-12-01,A3120150304,90002002,1035
2021-12-01,A3120150305,90002002,853
2021-12-01,A3120150306,90002002,898
2021-12-01,A3220150401,90002002,1153
2021-12-01,A3220150402,90002002,1884
2021-12-01,A3220150403,90002002,1188
2021-12-01,A3220150404,90002002,1831
2021-12-01,A3220150405,90002002,617
2021-12-01,A3220150406,90002002,1454
2021-12-01,A3320150501,90002002,651
2021-12-01,A3320150502,90002002,206
2021-12-01,A3320150503,90002002,556
2021-12-01,A3320150504,90002002,1142
2021-12-01,A3320150505,90002002,1005
2021-12-01,A3320150506,90002002,948
2021-12-01,A3420150601,90002002,1519
2021-12-01,A3420150602,90002002,1001
2021-12-01,A3421150603,90002002,674
2021-12-01,A3421150604,90002002,1100
2021-12-01,A3421150605,90002002,1252
2021-12-01,A3421150606,90002002,1640
2021-12-01,A3521150701,90002002,738
2021-12-01,A3521150702,90002002,274
2021-12-01,A3521150703,90002002,723
2021-12-01,A3521150704,90002002,274
2021-12-01,A3521150705,90002002,898
2021-12-01,A3521150706,90002002,419
2021-12-01,A3621150801,90002002,1245
2021-12-01,A3621150802,90002002,1435
2021-12-01,A3621150803,90002002,1207
2021-12-01,A3621150804,90002002,1850
2021-12-01,A3621150805,90002002,327
2021-12-01,A3621150806,90002002,613
2021-12-01,A3718150101,90002002,1273
2021-12-01,A3718150102,90002002,682
2021-12-01,A3718150103,90002002,930
2021-12-01,A3718150105,90002002,1151
2021-12-01,A3818150201,90002002,367
2021-12-01,A3818150202,90002002,359
2021-12-01,A3819150203,90002002,1916
2021-12-01,A3819150205,90002002,824
2021-12-01,A3920150301,90002002,296
2021-12-01,A3920150302,90002002,623
2021-12-01,A3920150303,90002002,572
2021-12-01,A3920150305,90002002,1731
2021-12-01,A4020150401,90002002,828
2021-12-01,A4020150402,90002002,209
2021-12-01,A4021150403,90002002,1175
2021-12-01,A4021150404,90002002,710
2021-12-01,A4021150405,90002002,1258
2021-12-01,A4118110105,90002002,66
2021-12-01,A4118110106,90002002,78
2021-12-01,A4118110107,90002002,184
2021-12-01,A4218110201,90002002,121
2021-12-01,A4218110202,90002002,59
2021-12-01,A4218110203,90002002,129
2021-12-01,A4218110204,90002002,199
2021-12-01,A4218110205,90002002,70
2021-12-01,A4218110206,90002002,203
2021-12-01,A4218110207,90002002,125
2021-12-01,A4218110208,90002002,55
2021-12-01,A4318110301,90002002,227
2021-12-01,A4319110302,90002002,195
2021-12-01,A4319110303,90002002,164
2021-12-01,A4319110304,90002002,133
2021-12-01,A4319110305,90002002,63
2021-12-01,A4319110306,90002002,129
2021-12-01,A4419110401,90002002,59
2021-12-01,A4419110402,90002002,184
2021-12-01,A4419110403,90002002,199
2021-12-01,A4419110404,90002002,43
2021-12-01,A4419110405,90002002,94
2021-12-01,A4419110406,90002002,55
2021-12-01,A4419110407,90002002,82
2021-12-01,A4419110408,90002002,117
2021-12-01,A4519110501,90002002,43
2021-12-01,A4519110502,90002002,156
2021-12-01,A4519110503,90002002,74
2021-12-01,A4520110504,90002002,51
2021-12-01,A4520110505,90002002,203
2021-12-01,A4520110506,90002002,141
2021-12-01,A4520110507,90002002,43
2021-12-01,A4520110508,90002002,78
2021-12-01,A4620110601,90002002,152
2021-12-01,A4620110602,90002002,47
2021-12-01,A4620110603,90002002,215
2021-12-01,A4620110604,90002002,102
2021-12-01,A4620110605,90002002,133
2021-12-01,A4620110606,90002002,168
2021-12-01,A4620110607,90002002,66
2021-12-01,A4620110608,90002002,129
2021-12-01,A4720110701,90002002,231
2021-12-01,A4720110702,90002002,133
2021-12-01,A4721110703,90002002,160
2021-12-01,A4721110704,90002002,180
2021-12-01,A4721110705,90002002,195
2021-12-01,A4721110706,90002002,223
2021-12-01,A4721110707,90002002,191
2021-12-01,A4721110708,90002002,113
2021-12-01,A4821110801,90002002,74
2021-12-01,A4821110802,90002002,199
2021-12-01,A4821110803,90002002,195
2021-12-01,A4821110804,90002002,141
2021-12-01,A4821110805,90002002,74
2021-12-01,A4821110806,90002002,195
2021-12-01,A4821110807,90002002,59
2021-12-01,A4821110808,90002002,109
2021-12-01,A4918110101,90002002,116
2021-12-01,A4918110102,90002002,222
2021-12-01,A4918110103,90002002,153
2021-12-01,A4918110104,90002002,254
2021-12-01,A5018110201,90002002,236
2021-12-01,A5018110202,90002002,129
2021-12-01,A5018110203,90002002,162
2021-12-01,A5018110204,90002002,157
2021-12-01,A5018110205,90002002,51
2021-12-01,A5018110206,90002002,143
2021-12-01,A5018110207,90002002,208
2021-12-01,A5019110208,90002002,55
2021-12-01,A5119110301,90002002,217
2021-12-01,A5119110302,90002002,55
2021-12-01,A5119110303,90002002,240
2021-12-01,A5119110305,90002002,171
2021-12-01,A5119110306,90002002,65
2021-12-01,A5119110307,90002002,236
2021-12-01,A5119110308,90002002,143
2021-12-01,A5219110401,90002002,60
2021-12-01,A5219110402,90002002,153
2021-12-01,A5219110403,90002002,199
2021-12-01,A5219110405,90002002,259
2021-12-01,A5219110406,90002002,148
2021-12-01,A5219110407,90002002,153
2021-12-01,A5220110408,90002002,185
2021-12-01,A5318110103,90002002,59
2021-12-01,A5318110104,90002002,185
2021-12-01,A5318110105,90002002,217
2021-12-01,A5318110106,90002002,267
2021-12-01,A5318110107,90002002,99
2021-12-01,A5318110108,90002002,136
2021-12-01,A5419110201,90002002,212
2021-12-01,A5419110202,90002002,267
2021-12-01,A5419110203,90002002,72
2021-12-01,A5419110204,90002002,149
2021-12-01,A5419110205,90002002,154
2021-12-01,A5419110206,90002002,208
2021-12-01,A5419110207,90002002,271
2021-12-01,A5419110208,90002002,45
2021-12-01,A5519110301,90002002,86
2021-12-01,A5520110305,90002002,113
2021-12-01,A5520110306,90002002,104
2021-12-01,A5520110307,90002002,262
2021-12-01,A5520110308,90002002,68
2021-12-01,A5620110401,90002002,217
2021-12-01,A5620110402,90002002,77
2021-12-01,A5621110403,90002002,131
2021-12-01,A5621110404,90002002,136
2021-12-01,A5621110405,90002002,249
2021-12-01,A5621110406,90002002,244
2021-12-01,A5621110407,90002002,122
2021-12-01,A5621110408,90002002,158
2021-12-01,A5721110501,90002002,176
2021-12-01,A5721110502,90002002,81
2021-12-01,A5721110503,90002002,149
2021-12-01,A5721110504,90002002,244
2021-12-01,A5721110505,90002002,154
2021-12-01,A5721110506,90002002,240
2021-12-01,A5721110507,90002002,226
2021-12-01,A5721110508,90002002,154
2021-12-01,A5820110101,90002002,125
2021-12-01,A5820110102,90002002,203
2021-12-01,A5820110103,90002002,203
2021-12-01,A5820110104,90002002,148
2021-12-01,A5820110106,90002002,120
2021-12-01,A5820110107,90002002,240
2021-12-01,A5921110201,90002002,97
2021-12-01,A5921110202,90002002,194
2021-12-01,A5921110203,90002002,171
2021-12-01,A5921110204,90002002,79
2021-12-01,A5921110205,90002002,245
2021-12-01,A5921110206,90002002,102
2021-12-01,A5921110207,90002002,55
2021-12-01,A5921110208,90002002,180
2021-12-01,A6018110103,90002002,70
2021-12-01,A6018110104,90002002,58
2021-12-01,A6018110105,90002002,82
2021-12-01,A6018110106,90002002,214
2021-12-01,A6019110107,90002002,164
2021-12-01,A6019110108,90002002,197
2021-12-01,A6119110201,90002002,201
2021-12-01,A6119110202,90002002,218
2021-12-01,A6119110203,90002002,218
2021-12-01,A6119110204,90002002,45
2021-12-01,A6120110205,90002002,214
2021-12-01,A6120110206,90002002,62
2021-12-01,A6120110207,90002002,95
2021-12-01,A6121110208,90002002,123
2021-12-01,A6219160103,90002002,473
2021-12-01,A6319160201,90002002,303
2021-12-01,A6319160202,90002002,954
2021-12-01,A6319160203,90002002,1638
2021-12-01,A6419160301,90002002,1899
2021-12-01,A6419160302,90002002,1215
2021-12-01,A6419160303,90002002,245
2021-12-01,A6519160401,90002002,1037
2021-12-01,A6520160402,90002002,1215
2021-12-01,A6520160403,90002002,1526
2021-12-01,A6620160501,90002002,1347
2021-12-01,A6620160502,90002002,974
2021-12-01,A6621160503,90002002,933
2021-12-01,A6720160103,90002002,551
2021-12-01,A6818160201,90002002,1763
2021-12-01,A6818160202,90002002,199
2021-12-01,A6819160203,90002002,1442
2021-12-01,A7219160201,90002002,298
2021-12-01,A7220160202,90002002,315
2021-12-01,A7220160203,90002002,708
2021-12-01,A7321160301,90002002,329
2021-12-01,A7321160302,90002002,225
2021-12-01,A7321160303,90002002,523
2021-10-01,A0118150103,90002002,329
2021-10-01,A0118150104,90002002,532
2021-10-01,A0219150201,90002002,289
2021-10-01,A0219150202,90002002,910
2021-10-01,A0220150203,90002002,792
2021-10-01,A0320150301,90002002,1059
2021-10-01,A0321150302,90002002,243
2021-10-01,A0321150303,90002002,1086
2021-10-01,A0418150103,90002002,766
2021-10-01,A0418150104,90002002,570
2021-10-01,A0418150105,90002002,814
2021-10-01,A0418150106,90002002,268
2021-10-01,A0519150204,90002002,725
2021-10-01,A0519150205,90002002,1010
2021-10-01,A0519150206,90002002,1536
2021-10-01,A0519150207,90002002,1533
2021-10-01,A0519150208,90002002,584
2021-10-01,A0619150301,90002002,625
2021-10-01,A0619150302,90002002,292
2021-10-01,A0620150303,90002002,364
2021-10-01,A0620150304,90002002,1687
2021-10-01,A0620150305,90002002,948
2021-10-01,A0620150306,90002002,1244
2021-10-01,A0621150307,90002002,1144
2021-10-01,A0621150308,90002002,512
2021-10-01,A0721150401,90002002,309
2021-10-01,A0721150402,90002002,1447
2021-10-01,A0721150403,90002002,746
2021-10-01,A0721150404,90002002,911
2021-10-01,A0821150501,90002002,1608
2021-10-01,A0821150502,90002002,244
2021-10-01,A0821150503,90002002,512
2021-10-01,A0821150504,90002002,704
2021-10-01,A0921150601,90002002,718
2021-10-01,A0921150602,90002002,199
2021-10-01,A0921150603,90002002,1374
2021-10-01,A0921150604,90002002,780
2021-10-01,A1118150201,90002002,1030
2021-10-01,A1118150202,90002002,870
2021-10-01,A1119150203,90002002,633
2021-10-01,A1219150301,90002002,1358
2021-10-01,A1219150302,90002002,508
2021-10-01,A1219150303,90002002,1145
2021-10-01,A1319150401,90002002,660
2021-10-01,A1320150402,90002002,1246
2021-10-01,A1320150403,90002002,698
2021-10-01,A1420150501,90002002,1419
2021-10-01,A1420150502,90002002,281
2021-10-01,A1421150503,90002002,603
2021-10-01,A1521150601,90002002,1666
2021-10-01,A1521150602,90002002,992
2021-10-01,A1521150603,90002002,793
2021-10-01,A1718150201,90002002,1019
2021-10-01,A1718150202,90002002,396
2021-10-01,A1718150203,90002002,187
2021-10-01,A1718150204,90002002,195
2021-10-01,A1819150301,90002002,597
2021-10-01,A1819150302,90002002,562
2021-10-01,A1819150303,90002002,543
2021-10-01,A1819150304,90002002,511
2021-10-01,A1919150401,90002002,888
2021-10-01,A1919150402,90002002,144
2021-10-01,A1919150403,90002002,971
2021-10-01,A1920150404,90002002,1287
2021-10-01,A2020150501,90002002,310
2021-10-01,A2020150502,90002002,393
2021-10-01,A2021150503,90002002,773
2021-10-01,A2021150504,90002002,650
2021-10-01,A2118150103,90002002,823
2021-10-01,A2118150104,90002002,223
2021-10-01,A2118150105,90002002,430
2021-10-01,A2118150106,90002002,1491
2021-10-01,A2218150201,90002002,714
2021-10-01,A2218150202,90002002,278
2021-10-01,A2219150203,90002002,680
2021-10-01,A2219150204,90002002,1246
2021-10-01,A2219150205,90002002,1503
2021-10-01,A2219150206,90002002,795
2021-10-01,A2319150301,90002002,495
2021-10-01,A2319150302,90002002,297
2021-10-01,A2319150303,90002002,547
2021-10-01,A2319150304,90002002,1506
2021-10-01,A2319150305,90002002,1327
2021-10-01,A2319150306,90002002,1367
2021-10-01,A2419150401,90002002,931
2021-10-01,A2419150402,90002002,1033
2021-10-01,A2419150403,90002002,1231
2021-10-01,A2419150404,90002002,1166
2021-10-01,A2419150405,90002002,1126
2021-10-01,A2420150406,90002002,1048
2021-10-01,A2520150501,90002002,733
2021-10-01,A2520150502,90002002,393
2021-10-01,A2520150503,90002002,176
2021-10-01,A2520150504,90002002,281
2021-10-01,A2520150505,90002002,164
2021-10-01,A2520150506,90002002,591
2021-10-01,A2620150601,90002002,1126
2021-10-01,A2620150602,90002002,365
2021-10-01,A2620150603,90002002,167
2021-10-01,A2620150604,90002002,229
2021-10-01,A2620150605,90002002,854
2021-10-01,A2620150606,90002002,1231
2021-10-01,A2720150701,90002002,1327
2021-10-01,A2721150702,90002002,1274
2021-10-01,A2721150703,90002002,575
2021-10-01,A2721150704,90002002,1534
2021-10-01,A2721150705,90002002,1203
2021-10-01,A2721150706,90002002,1138
2021-10-01,A2821150801,90002002,668
2021-10-01,A2821150802,90002002,884
2021-10-01,A2821150803,90002002,532
2021-10-01,A2821150804,90002002,782
2021-10-01,A2821150805,90002002,526
2021-10-01,A2821150806,90002002,906
2021-10-01,A2918150104,90002002,1251
2021-10-01,A2918150105,90002002,335
2021-10-01,A2918150106,90002002,957
2021-10-01,A3018150201,90002002,759
2021-10-01,A3018150202,90002002,346
2021-10-01,A3018150203,90002002,220
2021-10-01,A3019150204,90002002,198
2021-10-01,A3019150205,90002002,690
2021-10-01,A3019150206,90002002,1080
2021-10-01,A3119150301,90002002,437
2021-10-01,A3119150302,90002002,1308
2021-10-01,A3119150303,90002002,476
2021-10-01,A3120150304,90002002,690
2021-10-01,A3120150305,90002002,1218
2021-10-01,A3120150306,90002002,550
2021-10-01,A3220150401,90002002,665
2021-10-01,A3220150402,90002002,1300
2021-10-01,A3220150403,90002002,1308
2021-10-01,A3220150404,90002002,1347
2021-10-01,A3220150405,90002002,228
2021-10-01,A3220150406,90002002,767
2021-10-01,A3320150501,90002002,1303
2021-10-01,A3320150502,90002002,830
2021-10-01,A3320150503,90002002,1190
2021-10-01,A3320150504,90002002,379
2021-10-01,A3320150505,90002002,564
2021-10-01,A3320150506,90002002,1317
2021-10-01,A3420150601,90002002,899
2021-10-01,A3420150602,90002002,1243
2021-10-01,A3421150603,90002002,709
2021-10-01,A3421150604,90002002,388
2021-10-01,A3421150605,90002002,1223
2021-10-01,A3421150606,90002002,569
2021-10-01,A3521150701,90002002,1135
2021-10-01,A3521150702,90002002,456
2021-10-01,A3521150703,90002002,1325
2021-10-01,A3521150704,90002002,704
2021-10-01,A3521150705,90002002,531
2021-10-01,A3521150706,90002002,280
2021-10-01,A3621150801,90002002,1188
2021-10-01,A3621150802,90002002,550
2021-10-01,A3621150803,90002002,514
2021-10-01,A3621150804,90002002,863
2021-10-01,A3621150805,90002002,783
2021-10-01,A3621150806,90002002,1207
2021-10-01,A3718150101,90002002,1082
2021-10-01,A3718150102,90002002,1267
2021-10-01,A3718150103,90002002,1327
2021-10-01,A3718150105,90002002,663
2021-10-01,A3818150201,90002002,1330
2021-10-01,A3818150202,90002002,379
2021-10-01,A3819150203,90002002,1304
2021-10-01,A3819150205,90002002,481
2021-10-01,A3920150301,90002002,945
2021-10-01,A3920150302,90002002,868
2021-10-01,A3920150303,90002002,1358
2021-10-01,A3920150305,90002002,245
2021-10-01,A4020150401,90002002,1324
2021-10-01,A4020150402,90002002,942
2021-10-01,A4021150403,90002002,1241
2021-10-01,A4021150404,90002002,245
2021-10-01,A4021150405,90002002,404
2021-10-01,A4118110105,90002002,51
2021-10-01,A4118110106,90002002,79
2021-10-01,A4118110107,90002002,79
2021-10-01,A4218110201,90002002,135
2021-10-01,A4218110202,90002002,48
2021-10-01,A4218110203,90002002,138
2021-10-01,A4218110204,90002002,155
2021-10-01,A4218110205,90002002,144
2021-10-01,A4218110206,90002002,102
2021-10-01,A4218110207,90002002,158
2021-10-01,A4218110208,90002002,144
2021-10-01,A4318110301,90002002,152
2021-10-01,A4319110302,90002002,68
2021-10-01,A4319110303,90002002,28
2021-10-01,A4319110304,90002002,85
2021-10-01,A4319110305,90002002,93
2021-10-01,A4319110306,90002002,54
2021-10-01,A4419110401,90002002,133
2021-10-01,A4419110402,90002002,76
2021-10-01,A4419110403,90002002,102
2021-10-01,A4419110404,90002002,37
2021-10-01,A4419110405,90002002,130
2021-10-01,A4419110406,90002002,93
2021-10-01,A4419110407,90002002,141
2021-10-01,A4419110408,90002002,71
2021-10-01,A4519110501,90002002,155
2021-10-01,A4519110502,90002002,133
2021-10-01,A4519110503,90002002,113
2021-10-01,A4520110504,90002002,65
2021-10-01,A4520110505,90002002,28
2021-10-01,A4520110506,90002002,144
2021-10-01,A4520110507,90002002,85
2021-10-01,A4520110508,90002002,167
2021-10-01,A4620110601,90002002,135
2021-10-01,A4620110602,90002002,130
2021-10-01,A4620110603,90002002,48
2021-10-01,A4620110604,90002002,73
2021-10-01,A4620110605,90002002,45
2021-10-01,A4620110606,90002002,116
2021-10-01,A4620110607,90002002,124
2021-10-01,A4620110608,90002002,31
2021-10-01,A4720110701,90002002,127
2021-10-01,A4720110702,90002002,82
2021-10-01,A4721110703,90002002,45
2021-10-01,A4721110704,90002002,141
2021-10-01,A4721110705,90002002,28
2021-10-01,A4721110706,90002002,87
2021-10-01,A4721110707,90002002,113
2021-10-01,A4721110708,90002002,141
2021-10-01,A4821110801,90002002,124
2021-10-01,A4821110802,90002002,37
2021-10-01,A4821110803,90002002,150
2021-10-01,A4821110804,90002002,68
2021-10-01,A4821110805,90002002,37
2021-10-01,A4821110806,90002002,82
2021-10-01,A4821110807,90002002,31
2021-10-01,A4821110808,90002002,73
2021-10-01,A4918110101,90002002,60
2021-10-01,A4918110102,90002002,57
2021-10-01,A4918110103,90002002,117
2021-10-01,A4918110104,90002002,97
2021-10-01,A5018110201,90002002,110
2021-10-01,A5018110202,90002002,130
2021-10-01,A5018110203,90002002,87
2021-10-01,A5018110204,90002002,157
2021-10-01,A5018110205,90002002,144
2021-10-01,A5018110206,90002002,174
2021-10-01,A5018110207,90002002,174
2021-10-01,A5019110208,90002002,160
2021-10-01,A5119110301,90002002,80
2021-10-01,A5119110302,90002002,120
2021-10-01,A5119110303,90002002,60
2021-10-01,A5119110305,90002002,80
2021-10-01,A5119110306,90002002,107
2021-10-01,A5119110307,90002002,124
2021-10-01,A5119110308,90002002,140
2021-10-01,A5219110401,90002002,144
2021-10-01,A5219110402,90002002,43
2021-10-01,A5219110403,90002002,184
2021-10-01,A5219110405,90002002,164
2021-10-01,A5219110406,90002002,77
2021-10-01,A5219110407,90002002,107
2021-10-01,A5220110408,90002002,37
2021-10-01,A5318110103,90002002,101
2021-10-01,A5318110104,90002002,183
